Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Weatherproof retractive switch,34601
Weatherproof slim switch,34600
Weatherproof switch,25457
Terminal strip protection box,33726
Weatherproof junction box,25596
Weatherproof fused connection unit,25455
Weatherproof fused connection unit with RCD,34599
Weatherproof switched fused connection unit,34598
Weatherproof cable entry,25454
Weatherproof entry conduit,25453
Weatherproof RCD connection unit,25452
Weatherproof switched socket,25448
Weatherproof switched socket & prewired plug,34505
Weatherproof switched socket kit with cable & RCD plug,34597
Weatherproof switched socket with Wifi extender,34596
Pen voltage tester,32844
Voltage tester,28905
Broadband extender kit,29986
WiFi extender socket,26148
WiFi extender socket with USB,26161
USB socket,26147
Coaxial & F-type socket,30613
Coaxial & satellite socket,30125
Coaxial socket,29984
Coaxial socket module,30288
Cord outlet socket,30087
F-type socket,30099
F-type socket module,30289
Multimedia socket,26094
Radio socket,26143
Satellite socket,12502
TV & radio socket,26141
TV aerial socket,13108
TV socket,26140
"TV, radio & satellite socket",26142
TV/FM/DAB socket,30120
ADSL socket,30626
Data socket,26136
Dual outlet kit,30034
Extension socket,13379
Master PABX,29983
Master telephone socket,32821
Single outlet kit,30073
Slave telephone socket,32825
Telephone & data socket,26138
Telephone socket,12989
Fused Spur,12292
Outdoor socket & RCD plug,30286
RCD socket,29982
Socket trade pack,26119
Switch trade pack,26118
Switches & socket trade pack,26120
Socket shelf,26117
RCD connection unit,26116
RCD adaptor plug,26115
Plug,26160
Moulded box,26093
Pattress box,30085
Intermediate switch,12425
Inset desktop socket,26089
Inset desktop socket with USB,26088
Emergency toilet alarm kit,26087
Converter socket,26086
Single to double converter socket,34504
Socket convertor (1G to 2G),30135
Twin to triple converter socket,30137
Portable site transformer,26055
Site transformer,26056
Site splitter,26052
Site distribution unit,26048
Site distribution kit,26028
Modular connection,31605
Modular data socket,26137
Modular telephone & data socket,26139
Modular telephone socket,26128
Modular front plate,26217
Modular front spacer,26218
Modular dimmer switch,26126
Modular control switch,26125
Modular blanking plate,26112
Modular loudspeaker socket,35989
Modular radio & satellite socket,26134
Modular radio socket,26131
Modular satellite socket,26132
Modular TV & radio socket,26133
Modular TV socket,26111
"Modular TV, radio & satellite socket",35990
TV & satellite socket,26135
Modular fuse unit,26106
Modular non-dimmable switch,26104
Modular unswitched socket,26102
Modular multimedia socket,26100
Modular grid frame,26127
Label printer,25248
Label printer tape,25247
Metal-clad blanking box,34503
Metal-clad fused connection unit,25999
Metal-clad socket,30615
Metal-clad switched socket,25995
Cot bumper,35122
Stair child gate,34361
Flood barrier,28972
Heat & carbon monoxide alarm,25774
Gas alarm,26159
LPG & natural gas alarm,26158
LPG alarm,33529
Belt,28855
Elasticated belt,21719
Waterproof suit,25039
Water-resistant suit,34690
Jacket,21472
Waterproof jacket,24788
Shorts,25060
Trousers,21470
Base layer bottoms,28424
Warning triangle,24938
Speed bump fixings,24935
Grit bin,24933
Demarcation barrier,24931
Demarcation barrier base,24930
Cone,24928
No waiting cone,36507
Traffic cone,36503
Flagpole,34490
Spill control socks,24892
Spill container,24891
T-shirt,21484
Sweatshirt,21885
Hooded sweatshirt,21740
Hoodie,24826
Kneeling mat,24347
Toolvest,24787
Down jacket,28405
Fleece jacket,21724
Knitted jacket,21735
Quilted jacket,28404
Softshell jacket,21732
Hi-vis waistcoat,25057
Hi-vis trousers,28423
Hi-vis polo shirt,24796
Hi-vis overall,24840
Hi-vis hoodie,24825
Hi-vis fleece,24824
Hi-vis bodywarmer,21721
Bump cap,24337
Visor disposable covers,31825
Helmet lighting attachment,25031
Helmet ear defenders,25027
Helmet cape,25025
Helmet liner,25026
Safety helmet comforter,28395
Face guard,25017
Face shield,24336
Face shield & guard,25018
Grip glove,35646
Specialist handling gloves,24949
Boots,11967
Shoes,36133
Trainers,36656
Plasters,24921
First aid kit,8706
First aid kit refill,28377
Fire extinguisher cover,36385
Break glass call point,28371
Alarm strobe & vibrating pad,28365
Pan fire extinguishing sachet,34003
Alarm controller,33911
Fire safety hammer,24908
Fire alarm,24901
Fire bell,24902
Rotary fire alarm bell,32089
Fire extinguisher,24900
Fire blanket,24899
Carabiner,29286
Hook,21171
Karabiner,25064
Karabiner & hook,25066
Fall arrest kit,24915
Restraint kit,24916
Body harness,24914
Welding helmet lens,34908
Spec cord,24997
Spec cloth,24995
Spec wipe,24996
Wipes,13500
Safety specs,12497
Overspecs,24340
Lens cleaning spray,24991
Noise meter,24962
Chemical resistant jacket,24784
Chemical resistant disposable coverall,24837
Chemical resistant boilersuit,24836
Forestry helmet,24345
Chainsaw helmet,24980
Helmet,29291
Safety helmet,24346
Chainsaw trousers,24805
Chainsaw leggings,25540
Chainsaw gloves,24982
Chainsaw boots,24843
Bodywarmer,21722
Men's bodywarmer,24817
Fleece,21483
Paint pad kit,34984
Paint stencil,25508
Paint stamp,25507
Fabric dye,30407
Anti-rust primer,32386
Rust eradicator,13297
Rust remover,30421
Rust treatment,25593
Dye,33873
Stain,13323
Wood stain,13365
Beeswax,13159
Brushing wax,32407
Finishing wax,13222
Liming wax,13256
Soft wax,13315
Stone wax,32435
Wax repair sticks,13353
Wood wax,13368
Basecoat,32406
Binding primer,32410
Cover-up paint,32413
Primer,12805
Primer & sealer,32369
Primer & undercoat,21115
"Primer, sealant & stain block",32368
Stabilising primer,24450
Stain block primer,30238
Undercoat,13348
Decorative wall panel,35161
Decorative film,31447
Film,10704
Mirror film,32677
Self-adhesive film,25697
Venetian film,32682
Window privacy film,36598
Border,25695
Door sticker,36439
